#HQF Ship Bonus Mapping Table,,,,,,,,,,,
#Ship ID,Affecting Type,Affecting ID,Affected Attribute,Affected Type,Affected ID,Stack Nerf,Per Level,Calc Type,Value,Status,Description

# Raven,,,,,,,,,,,
17703,1,3331,64,4,567;570,0,1,0,5,15,Small Energy Turret Damage
# Anathema,,,,,,,,,,,
11188,1,3331,114,2,387;648,0,1,0,5,15,Rocket Damage - EM
11188,1,3331,116,2,387;648,0,1,0,5,15,Rocket Damage - Exp
11188,1,3331,117,2,387;648,0,1,0,5,15,Rocket Damage - Kin
11188,1,3331,118,2,387;648,0,1,0,5,15,Rocket Damage - Therm
11188,1,3331,55,1,11188,0,1,0,-5,15,Capacitor Recharge Rate
11188,0,0,50,2,330,0,0,0,-97.5,15,Cloaking Device CPU
11188,1,12093,50,2,330,0,1,0,-0.5,15,Cloaking Device CPU
11188,1,12093,73,5,3412,0,1,0,-10,15,Astrometrics Module Duration
# Anshar,,,,,,,,,,,
28848,1,20527,0,1,28848,0,1,0,5,15,Cargo Capacity
28848,1,20527,37,1,28848,0,1,0,5,15,Max Velocity
28848,1,29029,9,1,28848,0,1,0,10,15,Hull HP
28848,1,29029,868,1,28848,0,1,0,-5,15,Jump Fuel Need
# Apocalypse,,,,,,,,,,,
642,1,3339,6,4,569;573,0,1,0,-10,15,Large Energy Turret Cap Use
642,1,3339,482,1,642,0,1,0,5,15,Capacitor Capacity
# Apocalypse Imperial Issue,,,,,,,,,,,
11936,1,3339,6,4,569;573,0,1,0,-10,15,Large Energy Turret Cap Use
11936,1,3339,482,1,11936,0,1,0,5,15,Capacitor Capacity
# Apocalypse Navy Issue,,,,,,,,,,,
17726,1,3339,6,4,569;573,0,1,0,-10,15,Large Energy Turret Cap Use
17726,1,3339,482,1,17726,0,1,0,5,15,Capacitor Capacity
# Arazu,,,,,,,,,,,
11969,1,3332,64,4,562;565,0,1,0,5,15,Medium Hybrid Turret Damage
11969,1,3332,309,2,208,0,1,0,5,15,Remote Sensor Damp Range
11969,1,3332,64,2,208,0,1,0,5,15,Remote Sensor Damp Res
11969,1,22761,54,2,52,0,1,0,20,15,Warp Scrambler Range
11969,0,0,50,2,330,0,0,0,-95,15,Cloaking Device CPU
11969,1,22761,50,2,330,0,1,0,-1,15,Cloaking Device CPU
11969,0,0,714,2,658,0,0,0,-80,15,Cyno Field Fuel
11969,0,0,73,2,658,0,0,0,-50,15,Cyno Field Duration
# Arbitrator,,,,,,,,,,,
628,1,3335,2,291,351,0,1,0,5,15,Tracking Disruptor Range
628,1,3335,2,291,767,0,1,0,5,15,Tracking Disruptor Tracking
628,1,3335,263,3,18,0,1,0,10,15,Drone Shield HP
628,1,3335,265,3,18,0,1,0,10,15,Drone Armor HP
628,1,3335,9,3,18,0,1,0,10,15,Drone Hull HP
628,1,3335,64,3,18,0,1,0,10,15,Drone Damage
628,1,3335,77,3,18,0,1,0,10,15,Drone Mining Yield
# Archon,,,,,,,,,,,
23757,1,24311,91,4,910,0,1,0,50,15,Capital Energy Transfer Range
23757,1,24311,54,4,1056,0,1,0,50,15,Capital Armor Transfer Range
23757,1,24311,267,1,23757,0,1,2,5,15,Armor EM Resistance
23757,1,24311,268,1,23757,0,1,2,5,15,Armor Explosive Resistance
23757,1,24311,269,1,23757,0,1,2,5,15,Armor Kinetic Resistance
23757,1,24311,270,1,23757,0,1,2,5,15,Armor Thermal Resistance
23757,0,0,50,2,316,0,0,0,-99,15,Warfare Link Module CPU Use
23757,0,0,50,1,27951,0,0,0,-99,15,Triage Module CPU Use
23757,1,24311,0,1,23757,0,1,1,1,15,Fighter Control Bonus
23757,0,0,0,1,23757,0,0,0,200,15,Fighter Control Range 
# Ares,,,,,,,,,,,
11202,1,3328,64,4,561;564,0,1,0,5,15,Small Hybrid Damage
11202,1,3328,160,4,561;564,0,1,0,7.5,15,Small Hybrid Tracking Speed
11202,1,12092,552,1,11202,0,1,0,-5,15,Signature Radius
11202,1,12092,54,2,52,0,1,0,20,15,Warp Scrambler Range
11202,0,0,6,2,52;65,0,0,0,-80,15,Propulsion Jamming Cap Use
# Ark,,,,,,,,,,,
28850,1,20524,0,1,28850,0,1,0,5,15,Cargo Capacity
28850,1,20524,37,1,28850,0,1,0,5,15,Max Velocity
28850,1,29029,9,1,28850,0,1,0,10,15,Hull HP
28850,1,29029,868,1,28850,0,1,0,-5,15,Jump Fuel Need
# Armageddon,,,,,,,,,,,
643,1,3339,6,4,569;573,0,1,0,-10,15,Large Energy Turret Cap Use
643,1,3339,51,4,569;573,0,1,0,-5,15,Large Energy Turret ROF
# Armageddon Imperial Issue,,,,,,,,,,,
11938,1,3339,6,4,569;573,0,1,0,-10,15,Large Energy Turret Cap Use
11938,1,3339,51,4,569;573,0,1,0,-5,15,Large Energy Turret ROF
# Ashimmu,,,,,,,,,,,
17922,1,3335,90,2,68,0,1,0,10,15,Nos Drain Amount
17922,1,3335,97,2,71,0,1,0,10,15,Neut Drain Amount
17922,1,3333,54,2,65,0,1,0,10,15,Stasis Web Range
# Astarte,,,,,,,,,,,
22466,1,12099,64,4,562;565,0,1,0,5,15,Medium Hybrid Turret Damage
22466,1,12099,84,2,62,0,1,0,7.5,15,Armor Repair Amount
22466,1,23950,64,4,562;565,0,1,0,5,15,Medium Hybrid Turret Damage
22466,1,23950,158,4,562;565,0,1,0,5,15,Medium Hybrid Turret Falloff
22466,0,0,50,2,316,0,0,0,-99,15,Warfare Link Module CPU Use
# Augoror,,,,,,,,,,,
625,1,3335,265,1,625,0,1,0,10,15,Armor HP
625,1,3335,6,2,67,0,1,0,-10,15,Energy Transfer Cap Use
625,0,0,91,2,67,0,0,0,500,15,Energy Transfer Range
# Augoror Navy Issue,,,,,,,,,,,
17709,1,3335,6,4,568;572,0,1,0,-10,15,Medium Energy Turret Cap Use
17709,1,3335,265,1,17709,0,1,0,10,15,Armor HP
# Avatar,,,,,,,,,,,
11567,1,3347,6,4,773;774,0,1,0,-10,15,Capital Energy Turret Cap
11567,1,3347,64,4,773;774,0,1,0,5,15,Capital Energy Turret Damage
11567,1,3347,0,0,0,0,1,0,7.5,15,Gang Capacitor Recharge
11567,0,0,50,2,815,0,0,0,-99,15,Clone VAT Bay CPU Use
11567,0,0,50,2,316,0,0,0,-99,15,Warfare Link Module CPU Use
11567,0,0,50,1,24550,0,0,0,-99,15,Judgement CPU Need
11567,0,0,50,2,590,0,0,0,-99,15,Jump Portal CPU Need
11567,1,3347,0,1,23919,0,1,1,1,15,Warfare Link Bonus
11567,0,0,0,1,23919,0,0,0,1,15,EW Immunity
# Badger,,,,,,,,,,,
648,1,3342,0,0,0,0,1,0,5,15,Cargo Capacity
648,1,3342,37,1,648,0,1,0,5,15,Max Velocity
# Badger Mark II,,,,,,,,,,,
649,1,3342,0,0,0,0,1,0,5,15,Cargo Capacity
649,1,3342,37,1,649,0,1,0,5,15,Max Velocity
# Bantam,,,,,,,,,,,
582,1,3330,0,0,0,0,1,0,5,15,Cargo Capacity
582,1,3330,77,2,54,0,1,0,20,15,Mining Laser Yield
582,0,0,6,2,54,0,0,0,-60,15,Mining Laser Cap Use
# Basilisk,,,,,,,,,,,
11985,1,3334,87,2,41,0,1,0,150,15,Shield Transporter Range
11985,1,3334,91,2,67,0,1,0,150,15,Energy Transfer Range
11985,1,3334,68,4,842,0,1,0,20,15,Shield Maintenance Bot Transfer
11985,1,12096,6,2,41,0,1,0,-15,15,Shield Transporter Cap Use
11985,1,12096,6,2,67,0,1,0,-15,15,Energy Transfer Cap Use
11985,0,0,50,2,41,0,0,0,-50,15,Shield Transporter CPU
11985,0,0,50,2,67,0,0,0,-50,15,Energy Transfer CPU
# Bellicose,,,,,,,,,,,
630,1,3333,51,4,575;578,0,1,0,-5,15,Medium Projectile Turret ROF
630,1,3333,554,2,379,0,1,0,7.5,15,Target Painter Sig Radius
# Bestower,,,,,,,,,,,
1944,1,3343,0,0,0,0,1,0,5,15,Cargo Capacity
1944,1,3343,37,1,1944,0,1,0,5,15,Max Velocity
# Bhaalgorn,,,,,,,,,,,
17920,0,0,6,4,569;573,0,0,0,-50,15,Large Energy Turret Cap Use
17920,1,3339,90,2,68,0,1,0,10,15,Nos Drain Amount
17920,1,3339,97,2,71,0,1,0,10,15,Neut Drain Amount
17920,1,3337,54,2,65,0,1,0,10,15,Stasis Web Range
# Blackbird,,,,,,,,,,,
632,1,3334,238,2,201,0,1,0,15,15,ECM Jam Strength
632,1,3334,239,2,201,0,1,0,15,15,ECM Jam Strength
632,1,3334,240,2,201,0,1,0,15,15,ECM Jam Strength
632,1,3334,241,2,201,0,1,0,15,15,ECM Jam Strength
632,1,3334,54,2,201,0,1,0,20,15,ECM Optimal Range
# Breacher,,,,,,,,,,,
598,1,3329,114,2,654;656;655;653;648;657;772;386;385;384;387;89;476;88;914,0,1,0,5,15,EM Missile Damage
598,1,3329,116,2,654;656;655;653;648;657;772;386;385;384;387;89;476;88;914,0,1,0,10,15,Exp Missile Damage
598,1,3329,117,2,654;656;655;653;648;657;772;386;385;384;387;89;476;88;914,0,1,0,5,15,Kin Missile Damage
598,1,3329,118,2,654;656;655;653;648;657;772;386;385;384;387;89;476;88;914,0,1,0,5,15,Therm Missile Damage
# Broadsword,,,,,,,,,,,
12013,1,3333,51,4,575;578,0,1,0,-5,15,Medium Projectile Turret ROF
12013,1,3333,271,1,12013,0,1,2,5,15,EM Shield Resist
12013,1,3333,272,1,12013,0,1,2,5,15,Exp Shield Resist
12013,1,3333,273,1,12013,0,1,2,5,15,Kin Shield Resist
12013,1,3333,274,1,12013,0,1,2,5,15,Therm Shield Resist
12013,1,28609,158,4,575;578,0,1,0,10,15,Medium Projectile Turret Falloff
12013,1,28609,103,2,899,0,1,0,5,15,Warp Disruption Field Range
# Brutix,,,,,,,,,,,
16229,1,12099,64,4,562;565,0,1,0,5,15,Medium Hybrid Turret Damage
16229,1,12099,84,2,62,0,1,0,7.5,15,Armor Repair Amount
16229,0,0,50,2,316,0,0,0,-99,15,Warfare Link Module CPU Use
# Burst,,,,,,,,,,,
599,1,3329,0,0,0,0,1,0,5,15,Cargo Capacity
599,1,3329,77,2,54,0,1,0,20,15,Mining Laser Yield
599,0,0,6,2,54,0,0,0,-60,15,Mining Laser Cap Use
# Bustard,,,,,,,,,,,
12731,1,3342,0,0,0,0,1,0,5,15,Cargo Capacity
12731,1,3342,37,1,12731,0,1,0,5,15,Max Velocity
12731,1,3342,274,1,12731,0,1,2,15,15,Therm Shield Resist
12731,1,3342,270,1,12731,0,1,2,15,15,Therm Armor Resist
12731,1,3342,273,1,12731,0,1,2,10,15,Kinetic Shield Resist
12731,1,3342,269,1,12731,0,1,2,10,15,Kinetic Armor Resist
12731,1,19719,68,2,10838,0,1,0,10,15,Shield Booster Boost
#Buzzard,,,,,,,,,,,
11192,1,3330,117,2,654;656;655;653;648;657;772;386;385;384;387;89;476;88;914,0,1,0,5,15,Missile Kinetic Damage
11192,1,3330,51,2,511;862;524;506;510;771;507;508;501;509,0,1,0,-5,15,Missile ROF
11192,0,0,50,2,330,0,0,0,-97.5,15,Cloaking Device CPU
11192,1,12093,50,2,330,0,1,0,-0.5,15,Cloaking Device CPU
11192,1,12093,73,5,3412,0,1,0,-10,15,Astrometrics Module Duration
# Caldari Navy Hookbill,,,,,,,,,,,
17619,1,3330,263,1,17619,0,1,0,10,15,Shield HP
17619,1,3330,54,4,561;564,0,1,0,10,15,Small Hybrid Turret Optimal Range
#Caracal,,,,,,,,,,,
621,1,3334,117,2,654;656;655;653;648;657;772;386;385;384;387;89;476;88;914,0,1,0,5,15,Missile Kinetic Damage
621,1,3334,37,2,654;656;655;653;648;657;772;386;385;384;387;89;476;88;914,0,1,0,10,15,Missile Velocity
#Caracal Navy Issue,,,,,,,,,,,
17634,1,3334,117,2,654;656;655;653;648;657;772;386;385;384;387;89;476;88;914,0,1,0,5,15,Missile Kinetic Damage
17634,1,3334,37,2,654;656;655;653;648;657;772;386;385;384;387;89;476;88;914,0,1,0,10,15,Missile Velocity
# Catalyst,,,,,,,,,,,
16240,1,12097,160,4,561;564,0,1,0,10,15,Small Hybrid Turret Tracking
16240,1,12097,158,4,561;564,0,1,0,10,15,Small Hybrid Turret Falloff
16240,0,0,51,2,53;55;74,0,0,0,-25,15,Turret ROF
16240,0,0,54,4,561;564,0,1,0,50,15,Small Hybrid Turret Optimal Range
# Celestis,,,,,,,,,,,
633,1,3352,64,4,562;565,0,1,0,5,15,Medium Hybrid Turret Damage
633,1,3352,309,2,208,0,1,0,5,15,Remote Sensor Damp Range
633,1,3352,64,2,208,0,1,0,5,15,Remote Sensor Damp Res
# Cerberus,,,,,,,,,,,
11993,1,3334,117,2,654;656;655;653;648;657;772;386;385;384;387;89;476;88;914,0,1,0,5,15,Kinetic Missile Damage
11993,1,3334,37,2,654;656;655;653;648;657;772;386;385;384;387;89;476;88;914,0,1,0,10,15,Missile Velocity
11993,1,16591,281,2,653;384;655;385;654;772,0,1,0,10,15,"Light, Heavy, Assualt Missile Flight Time"
11993,1,16591,51,2,511;862;524;506;510;771;507;508;501;509,0,1,0,5,15,Missile ROF
# Charon,,,,,,,,,,,
648,1,20526,0,0,0,0,1,0,5,15,Cargo Capacity
648,1,20526,37,1,648,0,1,0,5,15,Max Velocity
# Cheetah,,,,,,,,,,,
11182,1,3329,64,4,574;577,0,1,0,5,15,Small Projectile Turrret Damage
11182,1,3329,54,4,574;577,0,1,0,-5,15,Small Projectile Turrret Optimal Range
11182,0,0,50,2,330,0,0,0,-97.5,15,Cloaking Device CPU
11182,1,12093,50,2,330,0,1,0,-0.5,15,Cloaking Device CPU
11182,1,12093,73,5,3412,0,1,0,-10,15,Astrometrics Module Duration
# Chimera,,,,,,,,,,,
23915,1,24312,91,4,910,0,1,0,50,15,Capital Energy Transfer Range
23915,1,24312,87,4,600,0,1,0,50,15,Capital Shield Transfer Range
23915,1,24312,271,1,23915,0,1,2,5,15,Shield EM Resistance
23915,1,24312,272,1,23915,0,1,2,5,15,Shield Explosive Resistance
23915,1,24312,273,1,23915,0,1,2,5,15,Shield Kinetic Resistance
23915,1,24312,274,1,23915,0,1,2,5,15,Shield Thermal Resistance
23915,0,0,50,2,316,0,0,0,-99,15,Warfare Link Module CPU Use
23915,0,0,50,1,27951,0,0,0,-99,15,Triage Module CPU Use
23915,1,24312,0,1,23915,0,1,1,1,15,Fighter Control Bonus
23915,0,0,0,1,23915,0,0,0,200,15,Fighter Control Range 
# Claw,,,,,,,,,,,
11196,1,3329,64,4,574;577,0,1,0,5,15,Small Projectile Turrret Damage
11196,1,12092,552,1,11202,0,1,0,-5,15,Signature Radius
11196,1,12092,160,4,574;577,0,1,0,7.5,15,Small Projectile Turrret Tracking
11196,0,0,6,2,52;65,0,0,0,-80,15,Propulsion Jamming Cap Use
# Claymore,,,,,,,,,,,
22468,1,12099,51,4,575;578,0,1,0,-5,15,Medium Projectile Turret ROF
22468,1,12099,68,2,10838,0,1,0,7.5,15,Shield Booster Boost
22468,1,23950,160,4,575;578,0,1,0,7.5,15,Medium Projectile Turrret Tracking
22468,1,23950,833,4,779,0,1,0,3,15,Skirmish Warfare Link Bonus
22468,0,0,50,2,316,0,0,0,-99,15,Warfare Link Module CPU Use
22468,0,0,0,0,0,0,0,0,2,15,Warfare Link Use
# Coercer,,,,,,,,,,,
16236,1,12097,160,4,567;570,0,1,0,10,15,Small Energy Turret Tracking
16236,1,12097,6,4,567;570,0,1,0,-10,15,Small Energy Turret Capacitor
16236,0,0,51,2,53;55;74,0,0,0,-25,15,Turret ROF
16236,0,0,54,4,567;570,0,1,0,50,15,Small Energy Turret Optimal Range
# Condor,,,,,,,,,,,
583,1,3330,117,2,387;648,0,1,0,5,15,Rocket Damage - Kin
583,1,3330,117,2,384;653,0,1,0,5,15,Light Missile Damage - Kin
583,1,3330,37,2,387;648,0,1,0,10,15,Rocket Velocity
583,1,3330,37,2,384;653,0,1,0,10,15,Light Missile Velocity
# Cormorant,,,,,,,,,,,
16238,1,12097,160,4,561;564,0,1,0,10,15,Small Hybrid Turret Tracking
16238,1,12097,158,4,561;564,0,1,0,10,15,Small Hybrid Turret Falloff
16238,0,0,51,2,53;55;74,0,0,0,-25,15,Turret ROF
16238,0,0,54,4,561;564,0,1,0,50,15,Small Hybrid Turret Optimal Range
# Covetor,,,,,,,,,,,
17476,0,0,50,4,1038;1040,0,0,0,-99.5,15,Ice Harvester/Strip Miner CPU Need
17476,0,0,77,4,1040,0,1,0,3,15,Strip Miner Mining Yield
# Crane,,,,,,,,,,,
12729,1,3342,0,0,0,0,1,0,5,15,Cargo Capacity
12729,1,3342,37,1,12729,0,1,0,5,15,Max Velocity
12729,1,3342,274,1,12729,0,1,2,10,15,Therm Shield Resist
12729,1,3342,270,1,12729,0,1,2,10,15,Therm Armor Resist
12729,1,3342,273,1,12729,0,1,2,5,15,Kinetic Shield Resist
12729,1,3342,269,1,12729,0,1,2,5,15,Kinetic Armor Resist
12729,1,19719,68,2,10838,0,1,0,10,15,Shield Booster Boost
# Crow,,,,,,,,,,,
11176,1,3329,117,2,654;656;655;653;648;657;772;386;385;384;387;89;476;88;914,0,1,0,10,15,Kinetic Missile Damage
11176,1,12092,552,1,11176,0,1,0,-5,15,Signature Radius
11176,1,12092,37,2,654;656;655;653;648;657;772;386;385;384;387;89;476;88;914,0,1,0,10,15,Missile Velocity
11176,0,0,6,2,52;65,0,0,0,-80,15,Propulsion Jamming Cap Use
# Crucifier,,,,,,,,,,,
2161,1,3331,6,4,567;570,0,1,0,-10,15,Small Energy Turret Capacitor
2161,1,3331,2,291,351,0,1,0,5,15,Tracking Disruptor Range
2161,1,3331,2,291,767,0,1,0,5,15,Tracking Disruptor Tracking
# Cruor,,,,,,,,,,,
17926,0,0,6,4,567;570,0,0,0,-50,15,Small Energy Turret Capacitor
17926,1,3331,90,2,68,0,1,0,10,15,Nos Drain Amount
17926,1,3331,97,2,71,0,1,0,10,15,Neut Drain Amount
17926,1,3329,54,2,65,0,1,0,10,15,Stasis Web Range
# Crusader,,,,,,,,,,,
11184,1,3328,6,4,567;570,0,1,0,-10,15,Small Energy Turret Capacitor
11184,1,3328,64,4,567;570,0,1,0,5,15,Small Energy Turret Damage
11184,1,12092,552,1,11184,0,1,0,-5,15,Signature Radius
11184,1,12092,160,4,567;570,0,1,0,7.5,15,Small Energy Turret Tracking
11184,0,0,6,2,52;65,0,0,0,-80,15,Propulsion Jamming Cap Use
# Curse,,,,,,,,,,,
20125,1,3335,2,291,351,0,1,0,5,15,Tracking Disruptor Range
20125,1,3335,2,291,767,0,1,0,5,15,Tracking Disruptor Tracking
20125,1,3335,263,3,18,0,1,0,10,15,Drone Shield HP
20125,1,3335,265,3,18,0,1,0,10,15,Drone Armor HP
20125,1,3335,9,3,18,0,1,0,10,15,Drone Hull HP
20125,1,3335,64,3,18,0,1,0,10,15,Drone Damage
20125,1,22761,90,2,68,0,1,0,20,15,Nos Drain Amount
20125,1,22761,97,2,71,0,1,0,20,15,Neut Drain Amount
20125,1,22761,91,2,68,0,1,0,40,15,Nos Drain Range
20125,1,22761,98,2,71,0,1,0,40,15,Neut Drain Range
# Cyclone,,,,,,,,,,,
16231,1,12099,51,4,575;578,0,1,0,-5,15,Medium Projectile Turret ROF
16231,1,12099,68,2,10838,0,1,0,7.5,15,Shield Booster Boost
16231,0,0,50,2,316,0,0,0,-99,15,Warfare Link Module CPU Use
# Cynabal,,,,,,,,,,,,
17720,0,0,51,4,575;578,0,0,0,-25,15,Medium Projectile Turret ROF,
17720,1,3333,64,4,575;578,0,1,0,5,15,Medium Projectile Turret Damage,
17720,1,3332,160,4,575;578,0,1,0,7.5,15,Medium Projectile Turret Tracking,
# Damnation,,,,,,,,,,,,
22474,1,12099,37,4,385;655;772;654,0,1,0,10,15,"Heavy, Assault Missile ROF",
22474,1,12099,267,1,22474,0,1,2,5,15,Armor EM Resistance,
22474,1,12099,268,1,22474,0,1,2,5,15,Armor Explosive Resistance,
22474,1,12099,269,1,22474,0,1,2,5,15,Armor Kinetic Resistance,
22474,1,12099,270,1,22474,0,1,2,5,15,Armor Thermal Resistance,
22474,1,23950,265,1,22474,0,1,0,10,15,Armor HP,
22474,1,23950,1159,2,329,0,1,0,10,15,Armor HP - Plates,
22474,1,23950,833,4,779,0,1,0,3,15,Skirmish Warfare Link Bonus,
22474,0,0,50,2,316,0,0,0,-99,15,Warfare Link Module CPU Use,
22474,0,0,0,0,0,0,0,0,2,15,Warfare Link Use,
# Daredevil,,,,,,,,,,,,
17928,0,0,64,4,561;564,0,0,0,25,15,Small Hybrid Damage
17928,1,3329,147,4,131,1,1,0,-5,15,MWD Capacitor Penalty Bonus
17928,1,3328,160,4,561;564,0,1,0,7.5,15,Small Hybrid Tracking Speed
# Deimos,,,,,,,,,,,
12023,1,3332,64,4,562;565,0,1,0,5,15,Medium Hybrid Turret Damage
12023,1,3332,147,4,131,1,1,0,-5,15,MWD Capacitor Penalty Bonus
12023,1,16591,158,4,562;565,0,1,0,10,15,Medium Hybrid Turret Falloff
12023,1,16591,64,4,562;565,0,1,0,5,15,Medium Hybrid Turret Damage
# Devoter,,,,,,,,,,,
12017,1,3335,6,4,568;572,0,1,0,-10,15,Medium Energy Turret Cap Use
12017,1,3335,267,1,12017,0,1,2,5,15,Armor EM Resistance
12017,1,3335,268,1,12017,0,1,2,5,15,Armor Explosive Resistance
12017,1,3335,269,1,12017,0,1,2,5,15,Armor Kinetic Resistance
12017,1,3335,270,1,12017,0,1,2,5,15,Armor Thermal Resistance
12017,1,28609,51,4,568;572,0,1,0,10,15,Medium Energy Turret ROF
12017,1,28609,103,2,899,0,1,0,5,15,Warp Disruption Field Range
# Dominix,,,,,,,,,,,
645,1,3336,64,2,563;566,0,1,0,5,15,Large Hybrid Turret Damage
645,1,3336,263,3,18,0,1,0,10,15,Drone Shield HP
645,1,3336,265,3,18,0,1,0,10,15,Drone Armor HP
645,1,3336,9,3,18,0,1,0,10,15,Drone Hull HP
645,1,3336,64,3,18,0,1,0,10,15,Drone Damage
# Drake,,,,,,,,,,,
24698,1,12099,117,4,385;655;772;654,0,1,0,10,15,"Heavy, Assault Missile Damage"
24698,1,12099,271,1,24698,0,1,2,5,15,Shield EM Resistance
24698,1,12099,272,1,24698,0,1,2,5,15,Shield Explosive Resistance
24698,1,12099,273,1,24698,0,1,2,5,15,Shield Kinetic Resistance
24698,1,12099,274,1,24698,0,1,2,5,15,Shield Thermal Resistance
24698,1,12099,50,2,316,0,0,0,-99,15,Warfare Link Module CPU Use
# Dramiel,,,,,,,,,,,
17932,0,0,64,4,574;577,0,0,0,25,15,Small Projectile Turrret Damage
17932,1,3329,64,4,574;577,0,1,0,5,15,Small Projectile Turrret Damage
17932,1,3328,160,4,574;577,0,1,0,7.5,15,Small Projectile Turrret Tracking
